league,group,player,standings_snapshot
Platinum,Group A,Liereyy,1-0 | 3-0
Platinum,Group A,MbL,1-0 | 3-0
Platinum,Group A,TaToH,1-0 | 2-1
Platinum,Group A,Barles,0-1 | 1-2
Platinum,Group A,lyx,0-1 | 0-3
Platinum,Group A,repard,0-1 | 0-3
Platinum,Group A,TaToH+1,2-0 | 5-1
Platinum,Group A,Barles+1,1-1 | 4-2
Platinum,Group A,MbL-3,1-1 | 3-3
Platinum,Group A,TaToH-1,2-1 | 5-4
Platinum,Group A,repard-1,0-3 | 1-8
Platinum,Group A,Barles-1,3-2 | 9-6
Platinum,Group B,Hera,1-0 | 3-0
Platinum,Group B,Yo,1-0 | 3-0
Platinum,Group B,Hearttt,1-0 | 2-1
Platinum,Group B,Vinchester,0-1 | 1-2
Platinum,Group B,Ciskhan,0-1 | 0-3
Platinum,Group B,Lucho,0-1 | 0-3
Platinum,Group B,Hearttt+1,2-0 | 4-2
Platinum,Group B,Vinchester+1,1-1 | 4-2
Platinum,Group B,Yo-3,1-1 | 3-3
Platinum,Group B,Ciskhan-1,0-2 | 0-6
Platinum,Group B,Hearttt-1,2-1 | 4-5
Platinum,Group B,Ciskhan+1,1-2 | 2-7
Platinum,Group B,Lucho-1,0-3 | 2-7
Platinum,Group B,Vinchester-1,4-1 | 10-5
Platinum,Group B,Lucho+1,0-5 | 4-11
Platinum,Group C,ACCM,1-0 | 2-1
Platinum,Group C,Sebastian,1-0 | 2-1
Platinum,Group C,FreakinAndy,0-1 | 1-2
Platinum,Group C,Lewis,0-1 | 1-2
Platinum,Group C,Lewis+1,1-1 | 3-3
Platinum,Group C,ACCM-2,1-0 | 2-1
Platinum,Group C,FreakinAndy-1,0-2 | 2-4
Platinum,Group C,Running,0-1 | 0-3
Platinum,Group C,ACCM+1,2-0 | 5-1
Platinum,Group C,Sebastian-1,2-0 | 5-1
Platinum,Group C,Sebastian+1,3-0 | 8-1
Platinum,Group C,Lewis-1,2-1 | 6-3
Platinum,Group C,ACCM-1,2-1 | 5-4
Platinum,Group D,Mihai06,1-0 | 3-0
Platinum,Group D,Sitaux,1-0 | 2-1
Platinum,Group D,Dragonstar,0-1 | 1-2
Platinum,Group D,Dark,0-1 | 0-3
Platinum,Group D,Sitaux+1,2-0 | 4-2
Platinum,Group D,Vivi,2-0 | 4-2
Platinum,Group D,Mihai06-2,1-1 | 4-2
Platinum,Group D,TheViper,1-1 | 4-2
Platinum,Group D,Dragonstar-2,0-2 | 2-4
Platinum,Group D,Mihai06+1,2-1 | 6-3
Platinum,Group D,Vivi-2,2-1 | 5-4
Platinum,Group D,TheViper-1,1-2 | 5-4
Platinum,Group D,TheViper+1,2-3 | 9-6
Platinum,Group D,Vivi-1,3-2 | 8-7
Gold,Group A,Villese,1-0 | 3-0
Gold,Group A,Prisma09,1-0 | 2-1
Gold,Group A,wide,1-0 | 2-1
Gold,Group A,miguel,0-1 | 1-2
Gold,Group A,Valas,0-1 | 1-2
Gold,Group A,Overtaken,0-1 | 0-3
